EmployeeID,Gender,Department,JobRole,HireDate,FTE,IsBadHire,ExitDate,EmploymentStatus,TenureYears
1028,Female,IT,Associate,2024-12-25,1.0,No,,Active,0.0
1029,Female,Operations,Manager,2018-09-08,1.0,No,,Active,6.3
1030,Female,Finance,Executive,2021-10-26,1.0,Yes,,Active,3.2
1031,Male,HR,Engineer,2022-11-24,1.0,No,2028-05-02,Terminated,2.1
1032,Male,Finance,Analyst,2017-11-02,0.5,Yes,2024-06-13,Terminated,7.2
1033,Female,HR,Manager,2017-07-31,0.75,No,,Active,7.4
1034,Female,Operations,Associate,2024-10-05,1.0,No,2030-07-25,Terminated,0.2
1035,Female,HR,Manager,2019-09-21,1.0,No,,Active,5.3
1036,Male,IT,Associate,2021-05-23,1.0,Yes,,Active,3.6
1037,Female,IT,Executive,2022-07-30,1.0,No,,Active,2.4
1038,Male,IT,Engineer,2018-02-11,1.0,No,,Active,6.9
1039,Male,IT,Executive,2021-12-02,1.0,No,2028-04-21,Terminated,3.1
1040,Male,Finance,Analyst,2015-01-22,1.0,No,,Active,9.9
1041,Male,Operations,Manager,2024-05-13,1.0,No,,Active,0.6
1042,Male,HR,Associate,2019-10-16,1.0,Yes,,Active,5.2
1043,Female,HR,Associate,2016-11-13,1.0,No,,Active,8.1
1044,Female,IT,Manager,2024-12-16,0.75,Yes,,Active,0.0
1045,Female,IT,Manager,2023-02-01,1.0,No,,Active,1.9
1046,Female,Sales,Analyst,2020-01-08,1.0,No,,Active,5.0
1047,Female,Operations,Executive,2021-06-25,1.0,No,,Active,3.5
1048,Male,Finance,Associate,2015-05-06,1.0,Yes,,Active,9.7
1049,Female,HR,Analyst,2015-10-04,1.0,No,,Active,9.2
1050,Female,Sales,Executive,2020-06-22,0.75,No,,Active,4.5
1051,Male,Sales,Analyst,2018-05-12,1.0,Yes,,Active,6.6
1052,Female,HR,Associate,2021-02-19,1.0,No,,Active,3.9
1053,Male,Finance,Manager,2024-11-27,0.75,No,,Active,0.1
1054,Female,Sales,Manager,2016-11-26,0.75,No,,Active,8.1
1055,Male,Sales,Executive,2018-08-02,1.0,Yes,,Active,6.4
1056,Female,Operations,Engineer,2015-02-26,0.75,No,2017-02-20,Terminated,9.9
1057,Female,Finance,Executive,2024-03-28,0.75,No,,Active,0.8
1058,Male,Sales,Engineer,2023-11-09,0.75,No,,Active,1.1
1059,Male,Finance,Analyst,2015-01-19,1.0,No,2015-11-04,Terminated,10.0
1060,Male,HR,Analyst,2024-06-03,1.0,No,,Active,0.6
1061,Male,IT,Associate,2021-04-30,1.0,No,,Active,3.7
1062,Male,Sales,Engineer,2022-10-12,1.0,No,,Active,2.2
1063,Male,Operations,Associate,2015-04-23,1.0,No,,Active,9.7
1064,Male,HR,Manager,2024-09-29,1.0,No,,Active,0.3
1065,Male,Finance,Engineer,2024-04-21,1.0,No,2026-04-15,Terminated,0.7
1066,Female,HR,Executive,2016-06-25,1.0,No,,Active,8.5
1067,Female,Sales,Manager,2022-05-18,1.0,No,,Active,2.6
1068,Male,Finance,Manager,2016-08-01,1.0,No,2019-02-09,Terminated,8.4
1069,Female,IT,Executive,2017-12-24,0.75,No,2022-01-01,Terminated,7.0
1070,Female,HR,Manager,2024-03-17,1.0,Yes,,Active,0.8
1071,Female,Sales,Engineer,2015-01-25,1.0,No,,Active,9.9
1072,Female,Operations,Associate,2019-04-22,1.0,No,2024-12-06,Terminated,5.7
1073,Male,Finance,Manager,2020-08-10,0.5,No,,Active,4.4
1074,Female,HR,Engineer,2023-02-06,1.0,No,,Active,1.9
1075,Male,HR,Analyst,2019-04-22,1.0,No,2022-10-11,Terminated,5.7
1076,Female,IT,Engineer,2015-05-21,1.0,No,,Active,9.6
1077,Female,IT,Associate,2019-11-03,1.0,Yes,,Active,5.2
1078,Female,Operations,Engineer,2016-10-09,1.0,No,,Active,8.2
1079,Male,Operations,Executive,2021-02-13,1.0,No,,Active,3.9
1080,Female,Sales,Associate,2023-10-05,1.0,No,,Active,1.2
1081,Male,Sales,Analyst,2015-07-20,0.75,No,,Active,9.5
1082,Female,Operations,Executive,2023-10-04,1.0,No,,Active,1.2
1083,Male,Operations,Engineer,2015-09-14,1.0,No,,Active,9.3
1084,Female,Finance,Associate,2016-06-30,1.0,No,,Active,8.5
1085,Male,IT,Analyst,2021-02-19,1.0,No,,Active,3.9
1086,Male,Sales,Executive,2022-07-13,1.0,Yes,,Active,2.5
1087,Female,IT,Analyst,2023-09-11,1.0,No,,Active,1.3
1088,Male,IT,Engineer,2024-11-15,1.0,No,,Active,0.1
1089,Female,Operations,Analyst,2024-02-19,1.0,No,,Active,0.9
1090,Female,Finance,Manager,2017-03-12,1.0,Yes,,Active,7.8
1091,Female,HR,Executive,2017-07-30,1.0,No,,Active,7.4
1092,Female,Finance,Analyst,2024-06-17,0.75,No,,Active,0.5
1093,Female,Finance,Engineer,2024-02-14,1.0,No,,Active,0.9
1094,Female,IT,Engineer,2016-02-18,1.0,Yes,2017-07-14,Terminated,8.9
1095,Female,Finance,Analyst,2020-07-07,1.0,No,,Active,4.5
1096,Female,Sales,Engineer,2018-10-13,1.0,No,,Active,6.2
1097,Female,IT,Associate,2018-01-03,1.0,No,,Active,7.0
1098,Female,Sales,Associate,2024-05-19,1.0,No,,Active,0.6
1099,Female,HR,Associate,2017-06-28,1.0,No,2022-03-10,Terminated,7.5
1100,Male,IT,Manager,2015-07-07,0.75,No,,Active,9.5
1101,Male,HR,Analyst,2020-07-08,0.75,No,,Active,4.5
1102,Female,IT,Manager,2018-08-06,0.75,No,,Active,6.4
1103,Female,Operations,Engineer,2020-09-23,1.0,No,,Active,4.3
1104,Female,Finance,Manager,2024-12-23,1.0,No,,Active,0.0
1105,Female,Operations,Engineer,2020-10-31,1.0,No,,Active,4.2
1106,Female,HR,Engineer,2018-02-20,1.0,No,,Active,6.9
1107,Female,Finance,Executive,2015-12-24,1.0,No,,Active,9.0
1108,Female,IT,Associate,2019-04-01,0.5,Yes,2022-11-27,Terminated,5.8
1109,Female,Finance,Engineer,2017-12-25,1.0,No,2020-02-04,Terminated,7.0
1110,Male,Sales,Executive,2023-03-03,1.0,No,,Active,1.8
1111,Female,Finance,Associate,2019-08-08,0.5,No,,Active,5.4
1112,Male,Sales,Engineer,2021-08-19,0.75,Yes,,Active,3.4
1113,Female,Finance,Engineer,2015-06-11,0.75,No,,Active,9.6
1114,Female,Sales,Manager,2024-06-13,0.5,No,2027-01-31,Terminated,0.6
1115,Male,HR,Manager,2024-05-22,1.0,No,,Active,0.6
1116,Female,Operations,Associate,2023-12-04,0.75,No,,Active,1.1
1117,Male,IT,Engineer,2021-06-27,1.0,No,2023-06-16,Terminated,3.5
1118,Female,Finance,Analyst,2016-03-25,1.0,No,,Active,8.8
1119,Female,Operations,Manager,2019-02-06,1.0,Yes,2023-11-10,Terminated,5.9
1120,Male,IT,Associate,2017-11-02,1.0,No,2022-06-28,Terminated,7.2
1121,Female,IT,Engineer,2021-02-09,1.0,No,,Active,3.9
1122,Male,Sales,Engineer,2020-11-28,1.0,No,,Active,4.1
1123,Female,HR,Analyst,2020-05-04,1.0,Yes,2022-07-11,Terminated,4.7
1124,Male,HR,Associate,2021-12-30,0.75,No,2027-07-05,Terminated,3.0
1125,Male,Operations,Engineer,2018-08-06,1.0,No,,Active,6.4
1126,Female,HR,Manager,2021-05-31,0.5,No,2024-08-14,Terminated,3.6
1127,Female,Finance,Analyst,2024-08-23,1.0,No,,Active,0.4
1128,Male,HR,Associate,2023-01-30,0.5,No,,Active,1.9
1129,Female,Operations,Analyst,2018-05-23,1.0,No,2024-10-04,Terminated,6.6
1130,Female,HR,Manager,2017-08-31,1.0,Yes,,Active,7.3
1131,Female,Finance,Associate,2016-09-23,1.0,No,2023-03-01,Terminated,8.3
1132,Male,Sales,Analyst,2019-05-10,1.0,Yes,,Active,5.6
1133,Male,Operations,Executive,2017-11-16,1.0,Yes,,Active,7.1
1134,Male,Sales,Manager,2022-08-12,0.5,No,,Active,2.4
1135,Male,Sales,Manager,2024-01-16,1.0,Yes,,Active,1.0
1136,Male,Sales,Manager,2019-05-08,1.0,Yes,,Active,5.7
1137,Male,IT,Executive,2021-06-26,1.0,No,,Active,3.5
1138,Male,IT,Executive,2023-02-08,1.0,No,,Active,1.9
1139,Male,Sales,Engineer,2024-01-18,1.0,Yes,,Active,1.0
1140,Male,Operations,Analyst,2019-08-21,1.0,No,,Active,5.4
1141,Female,Finance,Engineer,2016-03-12,1.0,No,,Active,8.8
1142,Male,Finance,Analyst,2022-09-29,0.5,No,,Active,2.3
1143,Female,HR,Executive,2019-04-06,0.75,No,,Active,5.7
1144,Female,Operations,Executive,2024-07-06,0.5,Yes,,Active,0.5
1145,Female,IT,Engineer,2017-12-12,1.0,No,,Active,7.1
1146,Male,Sales,Associate,2024-04-07,1.0,No,,Active,0.7
1147,Male,HR,Engineer,2018-07-28,1.0,No,,Active,6.4
1148,Male,Finance,Analyst,2022-08-05,1.0,No,,Active,2.4
1149,Male,IT,Engineer,2020-09-09,1.0,No,,Active,4.3
1150,Female,IT,Manager,2021-07-12,1.0,No,2026-06-12,Terminated,3.5
1151,Male,Sales,Analyst,2015-07-02,1.0,No,,Active,9.5
1152,Male,Finance,Analyst,2023-06-22,0.5,No,,Active,1.5
1153,Male,Operations,Associate,2022-02-04,0.75,No,,Active,2.9
1154,Male,IT,Executive,2019-01-09,1.0,No,,Active,6.0
1155,Male,Sales,Analyst,2023-08-12,1.0,No,,Active,1.4
1156,Female,Operations,Executive,2023-06-09,1.0,No,,Active,1.6
1157,Male,Finance,Engineer,2024-09-25,1.0,No,,Active,0.3
1158,Female,IT,Manager,2019-01-19,1.0,No,,Active,6.0
1159,Male,Operations,Associate,2019-05-09,0.75,No,,Active,5.7
1160,Female,Operations,Executive,2019-05-07,0.75,Yes,,Active,5.7
1161,Male,Operations,Analyst,2016-10-21,1.0,No,,Active,8.2
1162,Male,IT,Executive,2015-06-09,1.0,No,,Active,9.6
1163,Female,IT,Analyst,2023-06-13,1.0,No,,Active,1.6
1164,Female,HR,Executive,2023-11-24,1.0,No,,Active,1.1
1165,Female,Finance,Analyst,2021-09-25,1.0,No,,Active,3.3
1166,Male,Sales,Engineer,2017-10-08,1.0,No,,Active,7.2
1167,Female,Operations,Analyst,2015-02-22,1.0,Yes,,Active,9.9
1168,Male,HR,Analyst,2021-09-21,1.0,No,,Active,3.3
1169,Male,Sales,Manager,2022-12-04,1.0,No,,Active,2.1
1170,Female,HR,Analyst,2017-11-11,1.0,No,,Active,7.1
1171,Female,IT,Manager,2017-11-19,1.0,No,,Active,7.1
1172,Male,Operations,Associate,2022-07-13,0.75,No,,Active,2.5
1173,Male,Sales,Manager,2021-04-26,1.0,No,,Active,3.7
1174,Female,Sales,Engineer,2018-05-13,1.0,No,2023-01-05,Terminated,6.6
1175,Female,Sales,Manager,2023-07-28,1.0,No,,Active,1.4
1176,Female,Sales,Associate,2019-02-03,1.0,No,,Active,5.9
1177,Male,Sales,Engineer,2022-09-24,1.0,No,2024-08-25,Terminated,2.3
1178,Male,HR,Executive,2019-01-29,1.0,No,,Active,5.9
1179,Male,Operations,Executive,2017-11-01,1.0,No,,Active,7.2
1180,Male,IT,Manager,2020-05-04,0.75,No,,Active,4.7
1181,Male,IT,Manager,2024-03-15,1.0,No,,Active,0.8
1182,Male,IT,Associate,2017-04-29,1.0,Yes,,Active,7.7
1183,Female,IT,Associate,2015-12-20,1.0,No,,Active,9.0
1184,Male,HR,Analyst,2018-01-03,1.0,No,,Active,7.0
1185,Male,Finance,Associate,2022-12-30,1.0,Yes,,Active,2.0
1186,Male,Operations,Analyst,2019-10-06,1.0,No,2022-10-06,Terminated,5.2
1187,Female,Sales,Engineer,2024-12-11,1.0,No,2027-05-26,Terminated,0.1
1188,Male,Finance,Manager,2019-01-04,1.0,Yes,,Active,6.0
1189,Male,IT,Engineer,2017-09-17,0.75,Yes,,Active,7.3
1190,Female,Finance,Associate,2018-06-18,1.0,Yes,,Active,6.5
1191,Male,Operations,Engineer,2023-05-24,1.0,No,2029-03-09,Terminated,1.6
1192,Male,Sales,Engineer,2020-02-28,1.0,Yes,,Active,4.8
1193,Male,Sales,Engineer,2023-10-31,0.75,No,,Active,1.2
1194,Male,Operations,Associate,2019-12-15,1.0,No,,Active,5.0
1195,Male,Operations,Engineer,2023-09-03,1.0,No,,Active,1.3
1196,Female,IT,Analyst,2021-05-30,0.5,No,,Active,3.6
1197,Female,Sales,Associate,2021-03-06,1.0,Yes,,Active,3.8
1198,Female,Finance,Engineer,2024-05-07,1.0,No,,Active,0.7
1199,Male,HR,Associate,2018-01-16,1.0,No,,Active,7.0
1200,Male,HR,Executive,2017-03-28,1.0,No,,Active,7.8
1201,Male,Operations,Analyst,2019-12-05,1.0,No,,Active,5.1
1202,Female,IT,Engineer,2020-05-14,1.0,No,2022-05-23,Terminated,4.6
1203,Male,HR,Executive,2021-09-03,1.0,Yes,2024-10-25,Terminated,3.3
1204,Male,Sales,Executive,2021-06-30,0.75,No,2024-12-08,Terminated,3.5
1205,Female,Operations,Associate,2023-03-07,0.75,No,2026-02-08,Terminated,1.8
1206,Male,Finance,Executive,2017-06-07,1.0,No,,Active,7.6
1207,Female,Operations,Analyst,2020-01-30,0.75,No,,Active,4.9
1208,Female,Finance,Analyst,2018-03-26,1.0,No,,Active,6.8
1209,Female,Operations,Manager,2016-10-29,1.0,No,2019-06-28,Terminated,8.2
1210,Male,Operations,Analyst,2016-09-24,1.0,Yes,,Active,8.3
1211,Male,Operations,Executive,2022-03-09,1.0,No,,Active,2.8
1212,Male,Finance,Analyst,2019-07-01,1.0,No,,Active,5.5
1213,Male,Finance,Associate,2015-05-17,1.0,No,,Active,9.6
1214,Male,Operations,Manager,2020-04-30,1.0,No,,Active,4.7
1215,Male,HR,Executive,2019-08-25,0.75,No,,Active,5.4
1216,Male,IT,Manager,2016-03-03,1.0,No,,Active,8.8
1217,Female,IT,Executive,2019-01-15,1.0,Yes,,Active,6.0
1218,Male,IT,Associate,2022-04-13,1.0,No,,Active,2.7
1219,Female,Finance,Manager,2023-02-06,1.0,No,,Active,1.9
1220,Male,Finance,Engineer,2017-03-29,0.5,No,2024-01-24,Terminated,7.8
1221,Male,HR,Executive,2020-12-28,1.0,No,,Active,4.0
1222,Male,IT,Engineer,2018-01-11,1.0,Yes,,Active,7.0
1223,Female,IT,Manager,2021-02-02,1.0,No,,Active,3.9
1224,Female,Operations,Engineer,2015-07-17,1.0,No,,Active,9.5
1225,Female,Finance,Engineer,2022-04-25,1.0,No,,Active,2.7
1226,Female,IT,Manager,2024-12-18,1.0,No,,Active,0.0
1227,Male,HR,Associate,2020-06-18,1.0,No,,Active,4.5
1228,Female,HR,Engineer,2022-07-01,1.0,No,,Active,2.5
1229,Male,IT,Engineer,2024-07-24,1.0,No,,Active,0.4
1230,Male,Finance,Associate,2021-09-14,0.5,Yes,,Active,3.3
1231,Female,HR,Engineer,2016-04-15,1.0,No,,Active,8.7
1232,Female,Operations,Engineer,2021-03-15,1.0,No,,Active,3.8
1233,Female,HR,Engineer,2020-05-02,1.0,Yes,,Active,4.7
1234,Female,Sales,Analyst,2017-07-17,1.0,No,2020-09-20,Terminated,7.5
1235,Female,Sales,Associate,2020-07-03,1.0,No,,Active,4.5
1236,Female,Finance,Engineer,2022-05-03,1.0,No,,Active,2.7
1237,Female,IT,Associate,2023-03-18,1.0,No,,Active,1.8
1238,Female,Finance,Executive,2017-06-24,1.0,Yes,,Active,7.5
1239,Male,Finance,Executive,2021-01-31,0.5,No,,Active,3.9
1240,Female,Finance,Engineer,2015-01-23,0.5,No,,Active,9.9
1241,Female,Finance,Associate,2015-08-23,1.0,No,,Active,9.4
1242,Male,Operations,Associate,2023-06-12,0.5,No,,Active,1.6
1243,Female,Operations,Associate,2018-01-29,0.5,No,,Active,6.9
1244,Male,HR,Analyst,2017-07-17,1.0,No,,Active,7.5
1245,Male,Sales,Executive,2024-11-16,1.0,No,,Active,0.1
1246,Female,Finance,Associate,2016-06-06,1.0,No,,Active,8.6
1247,Male,HR,Associate,2019-12-14,0.75,Yes,2022-08-21,Terminated,5.1
1248,Male,Sales,Analyst,2024-08-24,1.0,No,,Active,0.4
1249,Male,IT,Analyst,2016-03-06,0.5,No,,Active,8.8
1250,Male,Operations,Associate,2017-03-03,1.0,Yes,,Active,7.8
1251,Female,Sales,Manager,2019-06-18,1.0,No,,Active,5.5
1252,Male,IT,Associate,2019-10-03,1.0,No,,Active,5.2
1253,Female,Sales,Associate,2016-06-16,1.0,No,,Active,8.5
1254,Male,Operations,Analyst,2023-04-15,0.5,No,,Active,1.7
1255,Male,Operations,Analyst,2019-10-13,1.0,Yes,,Active,5.2
1256,Male,HR,Associate,2019-08-03,1.0,No,2020-03-12,Terminated,5.4
1257,Male,Finance,Associate,2018-08-09,1.0,Yes,,Active,6.4
1258,Female,Sales,Associate,2022-10-28,0.75,No,,Active,2.2
1259,Female,Sales,Analyst,2017-07-01,1.0,Yes,2022-05-25,Terminated,7.5
1260,Male,IT,Associate,2018-01-29,1.0,No,,Active,6.9
1261,Male,Operations,Associate,2019-03-06,1.0,No,,Active,5.8
1262,Female,Sales,Engineer,2018-08-20,1.0,No,,Active,6.4
1263,Male,Operations,Manager,2022-12-28,1.0,No,2028-05-07,Terminated,2.0
1264,Male,Sales,Executive,2022-01-31,1.0,No,,Active,2.9
1265,Male,HR,Manager,2017-10-20,1.0,No,,Active,7.2
1266,Female,Finance,Engineer,2019-04-26,1.0,No,,Active,5.7
1267,Female,Sales,Executive,2018-10-10,1.0,No,,Active,6.2
1268,Female,Operations,Associate,2024-03-28,1.0,No,,Active,0.8
1269,Male,HR,Engineer,2019-02-28,1.0,Yes,,Active,5.8
1270,Male,Sales,Associate,2019-08-09,1.0,No,,Active,5.4
1271,Female,IT,Analyst,2020-06-20,1.0,No,,Active,4.5
1272,Female,Finance,Engineer,2015-08-15,1.0,No,,Active,9.4
1273,Female,Sales,Analyst,2018-06-13,1.0,No,2019-11-24,Terminated,6.6
1274,Female,HR,Engineer,2017-05-22,1.0,No,2022-03-04,Terminated,7.6
1275,Male,IT,Engineer,2017-06-10,1.0,No,,Active,7.6
1276,Female,HR,Analyst,2019-01-18,1.0,No,,Active,6.0
1277,Male,HR,Executive,2017-11-02,0.75,Yes,,Active,7.2
1278,Female,IT,Manager,2021-03-07,1.0,No,,Active,3.8
1279,Male,HR,Associate,2022-08-20,1.0,No,,Active,2.4
1280,Female,IT,Engineer,2016-02-01,0.5,No,,Active,8.9
1281,Female,Sales,Associate,2018-01-28,1.0,No,2021-08-29,Terminated,6.9
1282,Female,IT,Analyst,2020-09-09,1.0,No,,Active,4.3
1283,Female,IT,Associate,2023-01-24,0.5,No,,Active,1.9
1284,Male,Finance,Analyst,2024-11-08,1.0,No,,Active,0.1
1285,Female,IT,Associate,2016-10-10,1.0,No,,Active,8.2
1286,Male,IT,Manager,2015-11-25,1.0,No,,Active,9.1
1287,Male,Sales,Manager,2023-11-12,1.0,No,,Active,1.1
1288,Male,Finance,Manager,2019-01-22,0.75,No,,Active,5.9
1289,Male,Operations,Manager,2017-08-09,0.5,No,2023-09-15,Terminated,7.4
1290,Female,Sales,Manager,2020-06-28,1.0,No,,Active,4.5
1291,Male,Sales,Manager,2020-07-09,1.0,No,2025-11-20,Terminated,4.5
1292,Male,Operations,Analyst,2023-09-07,1.0,No,,Active,1.3
1293,Male,IT,Engineer,2022-04-22,0.5,No,,Active,2.7
1294,Female,HR,Associate,2020-02-22,1.0,Yes,,Active,4.9
1295,Female,Finance,Manager,2018-04-11,0.5,No,,Active,6.7
1296,Female,HR,Analyst,2019-11-08,0.75,Yes,,Active,5.2
1297,Female,Operations,Analyst,2015-06-11,1.0,No,,Active,9.6
1298,Male,Sales,Analyst,2019-10-18,1.0,No,,Active,5.2
1299,Male,Sales,Engineer,2017-02-14,1.0,No,,Active,7.9
1300,Female,Finance,Associate,2024-02-17,1.0,Yes,,Active,0.9
1301,Male,Sales,Engineer,2020-01-02,1.0,No,,Active,5.0
1302,Male,Sales,Executive,2021-05-10,1.0,No,,Active,3.6
1303,Male,Finance,Analyst,2023-06-02,1.0,No,,Active,1.6
1304,Female,Finance,Executive,2017-11-17,1.0,No,,Active,7.1
1305,Female,Operations,Manager,2021-07-01,1.0,No,2023-08-03,Terminated,3.5
1306,Male,Sales,Manager,2017-07-28,1.0,No,,Active,7.4
1307,Female,Sales,Engineer,2023-10-26,0.5,Yes,,Active,1.2
1308,Female,Operations,Associate,2016-06-23,1.0,No,,Active,8.5
1309,Female,IT,Executive,2021-12-10,0.5,No,,Active,3.1
1310,Female,IT,Associate,2017-04-01,1.0,No,,Active,7.8
1311,Female,IT,Engineer,2019-01-01,1.0,No,2020-09-03,Terminated,6.0
1312,Male,Operations,Manager,2017-12-24,0.5,No,2023-10-06,Terminated,7.0
1313,Female,Sales,Associate,2015-12-22,0.75,Yes,,Active,9.0
1314,Male,Operations,Associate,2024-11-13,1.0,No,,Active,0.1
1315,Male,Operations,Manager,2024-02-06,1.0,No,,Active,0.9
1316,Female,IT,Executive,2015-08-23,0.75,No,,Active,9.4
1317,Male,HR,Manager,2021-03-24,1.0,No,,Active,3.8
1318,Male,Sales,Associate,2019-03-29,1.0,No,,Active,5.8
1319,Male,IT,Executive,2024-04-07,1.0,Yes,,Active,0.7
1320,Female,HR,Executive,2020-09-27,1.0,Yes,2026-12-25,Terminated,4.3
1321,Female,HR,Manager,2015-04-28,1.0,No,,Active,9.7
1322,Male,Finance,Associate,2020-10-02,1.0,Yes,,Active,4.2
1323,Female,Sales,Engineer,2019-08-01,1.0,No,2023-10-07,Terminated,5.4
1324,Female,HR,Associate,2022-02-25,1.0,No,,Active,2.8
1325,Female,IT,Analyst,2017-12-03,0.75,No,2024-06-03,Terminated,7.1
1326,Female,Finance,Engineer,2020-10-01,0.75,No,,Active,4.3
1327,Male,Sales,Executive,2016-07-11,0.75,No,,Active,8.5
1328,Male,Operations,Engineer,2024-11-05,1.0,No,2030-11-24,Terminated,0.2
1329,Female,IT,Executive,2023-09-09,1.0,No,,Active,1.3
1330,Female,HR,Executive,2019-12-21,1.0,No,,Active,5.0
1331,Male,HR,Engineer,2020-06-28,1.0,No,,Active,4.5
1332,Male,IT,Executive,2022-12-25,1.0,No,,Active,2.0
1333,Female,HR,Executive,2016-02-02,0.75,No,,Active,8.9
1334,Male,Finance,Analyst,2023-10-15,1.0,Yes,2027-07-15,Terminated,1.2
1335,Female,Sales,Associate,2016-11-05,1.0,No,2020-07-09,Terminated,8.2
1336,Female,Finance,Associate,2016-01-22,1.0,Yes,2017-05-14,Terminated,8.9
1337,Male,HR,Analyst,2020-11-28,1.0,No,,Active,4.1
1338,Male,Operations,Engineer,2022-04-15,1.0,No,,Active,2.7
1339,Female,Sales,Manager,2020-08-26,1.0,No,,Active,4.4
1340,Female,Sales,Manager,2023-11-28,1.0,No,2029-09-16,Terminated,1.1
1341,Male,IT,Manager,2017-06-02,1.0,No,,Active,7.6
1342,Female,IT,Analyst,2024-11-16,1.0,No,,Active,0.1
1343,Male,Operations,Analyst,2016-06-24,0.75,Yes,,Active,8.5
1344,Female,Sales,Executive,2015-06-20,1.0,No,,Active,9.5
1345,Male,Operations,Manager,2021-09-22,0.5,No,,Active,3.3
1346,Male,IT,Engineer,2017-01-09,1.0,No,2019-09-04,Terminated,8.0
1347,Male,IT,Engineer,2018-11-02,0.5,No,2021-08-27,Terminated,6.2
1348,Female,Sales,Manager,2023-12-04,1.0,Yes,,Active,1.1
1349,Female,Finance,Manager,2022-12-15,1.0,No,,Active,2.0
1350,Male,HR,Manager,2021-03-27,1.0,No,2027-10-27,Terminated,3.8
1351,Female,IT,Analyst,2015-04-29,0.75,No,,Active,9.7
1352,Male,IT,Analyst,2023-11-02,0.75,No,,Active,1.2
1353,Male,Finance,Analyst,2022-10-02,0.5,No,,Active,2.2
1354,Female,Finance,Associate,2021-11-17,0.75,No,,Active,3.1
1355,Female,Operations,Engineer,2020-11-21,0.75,No,,Active,4.1
1356,Male,Operations,Engineer,2022-07-08,1.0,No,,Active,2.5
1357,Female,HR,Executive,2020-06-18,0.75,No,,Active,4.5
1358,Female,HR,Analyst,2024-10-13,0.5,No,,Active,0.2
1359,Male,Sales,Associate,2019-09-02,1.0,No,2023-12-07,Terminated,5.3
1360,Male,Operations,Associate,2019-09-19,1.0,No,,Active,5.3
1361,Female,IT,Engineer,2021-01-31,1.0,Yes,2024-10-19,Terminated,3.9
1362,Male,Operations,Analyst,2022-08-24,1.0,No,,Active,2.4
1363,Male,IT,Executive,2019-08-25,1.0,No,,Active,5.4
1364,Female,Finance,Analyst,2018-12-15,0.75,No,,Active,6.0
1365,Male,Operations,Manager,2023-10-11,1.0,No,2029-08-09,Terminated,1.2
1366,Male,Finance,Analyst,2024-06-24,1.0,No,,Active,0.5
1367,Female,HR,Manager,2019-10-26,0.5,Yes,,Active,5.2
1368,Female,HR,Manager,2019-03-05,1.0,No,,Active,5.8
1369,Male,Sales,Executive,2016-10-26,0.75,No,,Active,8.2
1370,Male,Operations,Engineer,2015-02-02,0.5,No,,Active,9.9
1371,Female,Finance,Analyst,2020-10-03,1.0,No,2023-08-26,Terminated,4.2
1372,Female,IT,Manager,2022-01-10,1.0,Yes,2025-08-20,Terminated,3.0
1373,Female,HR,Analyst,2022-09-04,1.0,No,,Active,2.3
1374,Female,HR,Engineer,2020-08-21,0.75,No,2025-06-13,Terminated,4.4
1375,Male,IT,Engineer,2019-04-01,1.0,No,,Active,5.8
1376,Female,Finance,Associate,2016-12-20,1.0,No,,Active,8.0
