RequisitionID,Department,JobRole,VacancyCreatedDate,TimeToFillDays,VacancyClosedDate,HireStatus
5043,Sales,Manager,2024-10-24,69,2025-01-01,Filled
5044,HR,Analyst,2023-07-30,33,2023-09-01,Filled
5045,Sales,Engineer,2023-10-29,76,2024-01-13,Filled
5046,HR,Associate,2023-03-27,73,2023-06-08,Filled
5047,HR,Engineer,2024-02-01,79,2024-04-20,Filled
5048,IT,Manager,2023-09-10,82,2023-12-01,Filled
5049,Operations,Associate,2024-06-16,42,2024-07-28,Filled
5050,Sales,Executive,2024-01-16,32,2024-02-17,Filled
5051,Operations,Associate,2024-03-19,40,2024-04-28,Filled
5052,Finance,Engineer,2023-02-02,33,2023-03-07,Open
5053,IT,Analyst,2023-09-17,69,2023-11-25,Filled
5054,IT,Executive,2023-08-22,71,2023-11-01,Open
5055,Finance,Engineer,2024-05-29,20,2024-06-18,Open
5056,Sales,Executive,2023-11-04,15,2023-11-19,Filled
5057,Finance,Associate,2023-03-11,22,2023-04-02,Filled
5058,Sales,Manager,2024-03-29,65,2024-06-02,Filled
5059,HR,Engineer,2024-03-14,39,2024-04-22,Open
5060,IT,Analyst,2023-12-30,61,2024-02-29,Filled
5061,Sales,Associate,2024-04-25,69,2024-07-03,Open
5062,Operations,Engineer,2023-05-24,78,2023-08-10,Filled
5063,Operations,Analyst,2023-01-24,24,2023-02-17,Open
5064,IT,Engineer,2024-02-29,70,2024-05-09,Open
5065,Finance,Associate,2023-06-24,26,2023-07-20,Filled
5066,Finance,Engineer,2023-11-21,47,2024-01-07,Filled
5067,Sales,Executive,2024-11-01,85,2025-01-25,Filled
5068,Finance,Associate,2023-12-14,31,2024-01-14,Filled
5069,IT,Engineer,2023-01-18,75,2023-04-03,Filled
5070,Sales,Manager,2023-02-13,24,2023-03-09,Open
5071,HR,Engineer,2023-06-04,45,2023-07-19,Filled
5072,Finance,Executive,2024-01-12,74,2024-03-26,Open
5073,Finance,Analyst,2024-02-06,84,2024-04-30,Open
5074,Sales,Analyst,2023-08-13,31,2023-09-13,Filled
5075,Operations,Analyst,2023-08-05,64,2023-10-08,Open
5076,Finance,Manager,2024-07-21,51,2024-09-10,Filled
5077,IT,Executive,2023-01-31,76,2023-04-17,Open
5078,Finance,Associate,2023-02-28,86,2023-05-25,Filled
5079,HR,Analyst,2023-12-19,43,2024-01-31,Filled
5080,Finance,Executive,2024-03-20,46,2024-05-05,Filled
5081,Operations,Engineer,2023-08-23,25,2023-09-17,Filled
5082,Finance,Manager,2023-04-17,20,2023-05-07,Filled
5083,Sales,Executive,2023-07-10,49,2023-08-28,Filled
5084,Finance,Executive,2024-06-13,47,2024-07-30,Filled
5085,Operations,Associate,2024-11-09,32,2024-12-11,Open
5086,Sales,Executive,2024-08-05,51,2024-09-25,Filled
5087,IT,Associate,2024-07-19,27,2024-08-15,Filled
5088,Sales,Manager,2023-09-02,88,2023-11-29,Filled
5089,HR,Manager,2023-03-17,78,2023-06-03,Open
5090,Sales,Engineer,2024-06-30,15,2024-07-15,Open
5091,IT,Associate,2023-09-24,77,2023-12-10,Filled
5092,Finance,Associate,2023-11-13,48,2023-12-31,Filled
5093,Sales,Analyst,2023-05-01,24,2023-05-25,Filled
5094,Sales,Analyst,2023-01-25,21,2023-02-15,Filled
5095,Sales,Engineer,2024-03-07,70,2024-05-16,Open
5096,Sales,Manager,2023-06-09,51,2023-07-30,Filled
5097,IT,Analyst,2024-08-18,43,2024-09-30,Open
5098,Operations,Executive,2023-04-24,26,2023-05-20,Filled
5099,Operations,Manager,2024-05-16,31,2024-06-16,Open
5100,Sales,Executive,2023-06-15,62,2023-08-16,Filled
5101,IT,Associate,2023-06-24,40,2023-08-03,Open
5102,IT,Manager,2023-01-01,26,2023-01-27,Open
5103,Sales,Engineer,2023-03-27,35,2023-05-01,Open
5104,HR,Associate,2024-07-27,56,2024-09-21,Filled
5105,Sales,Associate,2023-11-16,75,2024-01-30,Filled
5106,HR,Executive,2024-02-05,72,2024-04-17,Filled
5107,Sales,Associate,2024-01-17,68,2024-03-25,Filled
5108,HR,Analyst,2024-09-08,48,2024-10-26,Filled
5109,HR,Manager,2023-11-14,21,2023-12-05,Filled
5110,Sales,Analyst,2023-09-07,49,2023-10-26,Filled
5111,HR,Executive,2024-06-08,29,2024-07-07,Filled
5112,Finance,Executive,2024-11-05,79,2025-01-23,Filled
5113,Operations,Manager,2024-07-08,39,2024-08-16,Filled
5114,IT,Associate,2024-09-14,73,2024-11-26,Filled
5115,HR,Engineer,2023-09-13,20,2023-10-03,Filled
5116,HR,Executive,2023-11-03,66,2024-01-08,Filled
5117,IT,Manager,2023-05-24,35,2023-06-28,Filled
5118,HR,Engineer,2024-10-19,85,2025-01-12,Open
5119,IT,Associate,2024-01-26,46,2024-03-12,Open
5120,Sales,Executive,2024-11-06,67,2025-01-12,Open
5121,Finance,Manager,2023-06-18,73,2023-08-30,Open
5122,Finance,Manager,2023-10-25,83,2024-01-16,Filled
5123,Operations,Manager,2023-08-21,76,2023-11-05,Filled
5124,HR,Executive,2023-09-28,18,2023-10-16,Filled
5125,Operations,Engineer,2023-03-01,32,2023-04-02,Filled
5126,Sales,Manager,2023-10-23,70,2024-01-01,Filled
5127,Finance,Associate,2024-04-11,38,2024-05-19,Filled
5128,Sales,Manager,2023-08-23,80,2023-11-11,Filled
5129,Sales,Engineer,2024-11-07,27,2024-12-04,Filled
5130,HR,Executive,2023-08-22,76,2023-11-06,Open
5131,Sales,Manager,2024-01-03,68,2024-03-11,Filled
5132,Finance,Manager,2024-11-25,29,2024-12-24,Filled
5133,Operations,Associate,2023-08-20,83,2023-11-11,Filled
5134,Finance,Associate,2024-05-05,17,2024-05-22,Filled
5135,HR,Manager,2024-09-10,51,2024-10-31,Filled
5136,Finance,Manager,2024-05-17,51,2024-07-07,Open
5137,IT,Associate,2024-08-14,17,2024-08-31,Filled
5138,Operations,Engineer,2024-01-16,77,2024-04-02,Filled
5139,IT,Analyst,2024-11-26,49,2025-01-14,Filled
5140,IT,Analyst,2024-03-03,66,2024-05-08,Filled
5141,HR,Manager,2024-11-27,42,2025-01-08,Open
5142,Sales,Associate,2024-10-07,32,2024-11-08,Filled
5143,IT,Executive,2023-12-30,50,2024-02-18,Open
5144,Finance,Executive,2023-07-21,47,2023-09-06,Open
5145,Sales,Analyst,2023-05-26,78,2023-08-12,Open
5146,Finance,Engineer,2024-09-30,40,2024-11-09,Filled
5147,Finance,Analyst,2024-04-01,62,2024-06-02,Filled
5148,Sales,Manager,2023-05-15,54,2023-07-08,Filled
5149,Sales,Engineer,2024-09-17,31,2024-10-18,Filled
5150,Finance,Executive,2023-09-21,54,2023-11-14,Open
5151,HR,Associate,2023-03-05,21,2023-03-26,Open
5152,Operations,Associate,2024-05-05,71,2024-07-15,Open
5153,Operations,Manager,2024-10-08,22,2024-10-30,Open
5154,HR,Analyst,2023-02-10,70,2023-04-21,Filled
5155,Sales,Manager,2023-10-23,45,2023-12-07,Filled
5156,Finance,Associate,2023-01-03,73,2023-03-17,Filled
5157,Operations,Executive,2023-04-20,72,2023-07-01,Open
5158,Finance,Associate,2023-08-09,26,2023-09-04,Open
5159,HR,Engineer,2024-01-05,62,2024-03-07,Filled
5160,Finance,Associate,2024-01-03,45,2024-02-17,Open
5161,HR,Associate,2024-03-11,77,2024-05-27,Open
5162,Sales,Engineer,2023-01-04,88,2023-04-02,Open
5163,HR,Analyst,2023-09-01,53,2023-10-24,Open
5164,HR,Associate,2023-06-15,34,2023-07-19,Filled
5165,Operations,Manager,2023-01-26,62,2023-03-29,Filled
5166,Finance,Associate,2024-01-30,85,2024-04-24,Filled
5167,Operations,Manager,2024-04-18,68,2024-06-25,Filled
5168,IT,Engineer,2023-01-17,89,2023-04-16,Filled
5169,HR,Associate,2023-04-02,85,2023-06-26,Filled
5170,IT,Engineer,2024-04-27,43,2024-06-09,Open
5171,Operations,Engineer,2024-06-26,88,2024-09-22,Filled
5172,Finance,Analyst,2023-07-24,87,2023-10-19,Open
5173,Operations,Associate,2024-05-16,62,2024-07-17,Filled
5174,Finance,Manager,2024-02-04,88,2024-05-02,Filled
5175,Finance,Manager,2023-07-26,70,2023-10-04,Filled
5176,Sales,Associate,2024-09-10,31,2024-10-11,Filled
5177,HR,Analyst,2023-05-26,23,2023-06-18,Filled
5178,Operations,Analyst,2023-04-11,48,2023-05-29,Filled
5179,Finance,Analyst,2023-08-29,59,2023-10-27,Filled
5180,Operations,Manager,2023-06-12,23,2023-07-05,Filled
5181,Operations,Engineer,2023-06-22,21,2023-07-13,Filled
5182,Finance,Analyst,2024-05-16,30,2024-06-15,Open
5183,IT,Manager,2024-06-30,33,2024-08-02,Filled
5184,HR,Manager,2023-10-11,20,2023-10-31,Filled
5185,HR,Engineer,2023-12-25,25,2024-01-19,Open
5186,Sales,Associate,2024-01-16,75,2024-03-31,Filled
5187,Sales,Associate,2024-06-16,56,2024-08-11,Open
5188,Sales,Analyst,2023-06-12,27,2023-07-09,Open
5189,HR,Analyst,2024-08-31,26,2024-09-26,Open
5190,IT,Engineer,2023-11-03,88,2024-01-30,Filled
5191,HR,Analyst,2023-12-05,34,2024-01-08,Open
5192,HR,Engineer,2023-02-24,64,2023-04-29,Open
5193,HR,Manager,2023-11-29,50,2024-01-18,Filled
5194,HR,Analyst,2023-05-07,83,2023-07-29,Filled
5195,IT,Manager,2023-08-31,51,2023-10-21,Filled
5196,Sales,Executive,2024-08-22,26,2024-09-17,Open
5197,Operations,Engineer,2024-02-13,54,2024-04-07,Filled
5198,Sales,Executive,2024-05-17,68,2024-07-24,Open
5199,Sales,Analyst,2024-08-26,16,2024-09-11,Filled
5200,Operations,Manager,2023-10-30,64,2024-01-02,Open
5201,HR,Analyst,2024-04-08,55,2024-06-02,Filled
5202,IT,Executive,2023-08-23,59,2023-10-21,Filled
5203,IT,Analyst,2024-11-26,23,2024-12-19,Filled
5204,Sales,Associate,2023-02-07,76,2023-04-24,Filled
5205,Operations,Executive,2023-05-19,61,2023-07-19,Filled
5206,Finance,Analyst,2023-07-14,19,2023-08-02,Filled
5207,HR,Manager,2024-06-10,15,2024-06-25,Filled
5208,Sales,Analyst,2024-10-08,58,2024-12-05,Open
5209,IT,Manager,2023-01-01,36,2023-02-06,Open
5210,Operations,Associate,2024-07-14,52,2024-09-04,Filled
5211,Operations,Analyst,2023-04-06,33,2023-05-09,Filled
5212,Sales,Associate,2024-02-17,45,2024-04-02,Filled
5213,Finance,Executive,2024-06-21,81,2024-09-10,Open
5214,IT,Manager,2024-03-04,56,2024-04-29,Filled
5215,Sales,Executive,2023-08-23,40,2023-10-02,Filled
5216,Finance,Manager,2023-12-15,27,2024-01-11,Filled
5217,Operations,Associate,2024-04-25,72,2024-07-06,Open
5218,HR,Engineer,2024-01-31,32,2024-03-03,Filled
5219,IT,Analyst,2023-12-17,81,2024-03-07,Open
5220,IT,Associate,2024-02-20,17,2024-03-08,Filled
5221,Finance,Manager,2023-02-20,69,2023-04-30,Filled
5222,Sales,Manager,2023-03-22,72,2023-06-02,Filled
5223,Operations,Manager,2023-02-05,77,2023-04-23,Filled
5224,Finance,Manager,2023-03-08,66,2023-05-13,Filled
5225,HR,Analyst,2024-10-02,38,2024-11-09,Filled
5226,HR,Executive,2024-10-28,86,2025-01-22,Filled
5227,HR,Engineer,2024-09-14,23,2024-10-07,Filled
5228,Finance,Analyst,2024-11-10,51,2024-12-31,Filled
5229,Operations,Manager,2024-04-25,67,2024-07-01,Open
5230,IT,Analyst,2024-04-12,38,2024-05-20,Filled
5231,Sales,Associate,2023-05-22,35,2023-06-26,Filled
5232,IT,Manager,2023-12-22,54,2024-02-14,Filled
5233,Operations,Engineer,2024-04-15,76,2024-06-30,Filled
5234,IT,Manager,2024-09-12,84,2024-12-05,Filled
5235,Finance,Engineer,2024-08-13,83,2024-11-04,Filled
5236,HR,Engineer,2024-11-03,28,2024-12-01,Filled
5237,Operations,Executive,2024-03-14,56,2024-05-09,Filled
5238,Operations,Executive,2024-06-14,64,2024-08-17,Open
5239,IT,Analyst,2023-05-07,75,2023-07-21,Filled
5240,Finance,Analyst,2023-07-24,18,2023-08-11,Filled
5241,IT,Engineer,2023-01-29,86,2023-04-25,Filled
5242,IT,Manager,2024-03-20,89,2024-06-17,Filled
5243,Operations,Associate,2024-04-08,31,2024-05-09,Open
5244,IT,Associate,2023-10-07,71,2023-12-17,Filled
5245,HR,Manager,2023-05-31,62,2023-08-01,Filled
5246,IT,Manager,2023-08-28,58,2023-10-25,Filled
5247,HR,Executive,2023-09-23,59,2023-11-21,Filled
5248,Operations,Associate,2024-11-24,47,2025-01-10,Filled
5249,Finance,Engineer,2023-04-15,45,2023-05-30,Filled
5250,HR,Analyst,2024-03-08,61,2024-05-08,Filled
5251,Finance,Executive,2024-05-11,20,2024-05-31,Filled
5252,Finance,Associate,2024-03-15,86,2024-06-09,Filled
5253,HR,Manager,2024-11-15,85,2025-02-08,Filled
5254,Operations,Associate,2023-06-07,48,2023-07-25,Filled
5255,Sales,Engineer,2023-06-21,67,2023-08-27,Open
5256,Finance,Executive,2024-05-08,28,2024-06-05,Filled
5257,Finance,Manager,2023-11-07,30,2023-12-07,Filled
5258,Operations,Engineer,2024-02-07,57,2024-04-04,Filled
5259,Operations,Analyst,2024-10-30,87,2025-01-25,Filled
5260,IT,Executive,2024-11-06,88,2025-02-02,Filled
5261,Operations,Engineer,2024-10-20,26,2024-11-15,Open
5262,Finance,Engineer,2024-10-27,84,2025-01-19,Open
5263,HR,Manager,2024-04-07,33,2024-05-10,Filled
5264,Sales,Analyst,2024-01-02,55,2024-02-26,Filled
5265,IT,Engineer,2024-07-03,67,2024-09-08,Filled
5266,HR,Executive,2024-10-04,43,2024-11-16,Filled
5267,Sales,Engineer,2023-09-12,84,2023-12-05,Open
5268,Sales,Associate,2023-07-27,73,2023-10-08,Filled
5269,Sales,Executive,2024-03-25,78,2024-06-11,Filled
5270,HR,Executive,2023-04-05,38,2023-05-13,Filled
5271,IT,Engineer,2024-04-22,30,2024-05-22,Filled
5272,IT,Manager,2024-11-13,66,2025-01-18,Open
5273,Sales,Executive,2023-07-09,20,2023-07-29,Filled
5274,HR,Associate,2024-04-28,51,2024-06-18,Filled
5275,Sales,Manager,2024-06-19,18,2024-07-07,Filled
5276,Operations,Manager,2024-02-27,52,2024-04-19,Open
5277,IT,Manager,2024-10-01,55,2024-11-25,Open
5278,Finance,Executive,2024-08-27,28,2024-09-24,Filled
5279,Sales,Manager,2023-05-13,85,2023-08-06,Filled
5280,Operations,Engineer,2023-02-24,65,2023-04-30,Filled
5281,IT,Manager,2024-05-24,79,2024-08-11,Filled
5282,HR,Associate,2024-10-31,66,2025-01-05,Filled
5283,IT,Analyst,2024-06-24,44,2024-08-07,Filled
5284,HR,Associate,2024-02-14,71,2024-04-25,Filled
5285,HR,Executive,2023-07-30,44,2023-09-12,Filled
5286,Sales,Manager,2024-10-27,56,2024-12-22,Open
5287,Sales,Manager,2023-10-20,25,2023-11-14,Filled
5288,IT,Engineer,2023-04-25,41,2023-06-05,Filled
5289,Operations,Manager,2024-10-31,38,2024-12-08,Filled
5290,IT,Associate,2023-09-16,53,2023-11-08,Filled
5291,Finance,Executive,2023-05-02,86,2023-07-27,Filled
5292,HR,Analyst,2023-10-26,32,2023-11-27,Open
5293,HR,Manager,2024-01-16,59,2024-03-15,Filled
5294,Sales,Analyst,2024-07-14,26,2024-08-09,Open
5295,Operations,Manager,2024-05-15,63,2024-07-17,Filled
5296,Sales,Executive,2023-10-24,45,2023-12-08,Filled
5297,Finance,Associate,2023-12-28,36,2024-02-02,Filled
5298,IT,Executive,2024-08-11,58,2024-10-08,Filled
5299,IT,Analyst,2024-04-07,78,2024-06-24,Filled
5300,Operations,Manager,2024-03-13,39,2024-04-21,Open
5301,Sales,Analyst,2023-05-07,65,2023-07-11,Open
5302,Sales,Associate,2023-07-16,21,2023-08-06,Open
5303,Finance,Executive,2023-08-09,20,2023-08-29,Open
5304,IT,Analyst,2023-04-01,38,2023-05-09,Open
5305,Sales,Analyst,2024-02-15,33,2024-03-19,Filled
5306,Operations,Associate,2023-01-08,23,2023-01-31,Filled
5307,IT,Manager,2024-06-27,50,2024-08-16,Filled
5308,Finance,Analyst,2024-04-12,54,2024-06-05,Filled
5309,Operations,Associate,2023-11-16,38,2023-12-24,Open
5310,HR,Manager,2024-01-29,62,2024-03-31,Filled
5311,Finance,Manager,2023-09-26,77,2023-12-12,Filled
5312,Operations,Executive,2023-07-10,83,2023-10-01,Open
5313,Sales,Associate,2024-11-05,67,2025-01-11,Filled
5314,HR,Manager,2023-03-02,68,2023-05-09,Filled
5315,Finance,Executive,2024-03-13,56,2024-05-08,Open
5316,Sales,Engineer,2023-09-21,59,2023-11-19,Open
5317,HR,Associate,2023-04-05,28,2023-05-03,Filled
5318,IT,Engineer,2024-07-06,43,2024-08-18,Open
5319,Sales,Manager,2024-04-14,20,2024-05-04,Open
5320,Operations,Associate,2024-10-22,21,2024-11-12,Open
5321,Finance,Executive,2024-05-28,51,2024-07-18,Open
5322,HR,Manager,2024-11-20,67,2025-01-26,Filled
5323,Sales,Associate,2023-07-13,32,2023-08-14,Filled
5324,IT,Associate,2024-04-26,52,2024-06-17,Filled
5325,Finance,Engineer,2023-12-02,73,2024-02-13,Filled
5326,Finance,Manager,2024-03-10,15,2024-03-25,Filled
5327,Sales,Executive,2023-07-15,82,2023-10-05,Filled
5328,IT,Executive,2023-09-06,58,2023-11-03,Filled
5329,HR,Manager,2024-05-12,61,2024-07-12,Filled
5330,Sales,Manager,2023-07-31,49,2023-09-18,Filled
5331,HR,Analyst,2024-10-26,74,2025-01-08,Open
5332,Finance,Engineer,2024-10-31,66,2025-01-05,Filled
5333,HR,Manager,2024-04-10,22,2024-05-02,Filled
5334,IT,Manager,2024-10-12,55,2024-12-06,Filled
5335,Operations,Analyst,2023-08-09,17,2023-08-26,Filled
5336,IT,Analyst,2023-09-30,83,2023-12-22,Open
5337,HR,Associate,2023-06-03,28,2023-07-01,Filled
5338,Sales,Executive,2023-09-06,40,2023-10-16,Filled
5339,Finance,Engineer,2023-10-06,84,2023-12-29,Filled
5340,Operations,Associate,2024-03-15,72,2024-05-26,Filled
5341,Sales,Manager,2023-10-03,54,2023-11-26,Filled
5342,Sales,Analyst,2024-05-28,65,2024-08-01,Filled
5343,IT,Executive,2023-03-29,19,2023-04-17,Filled
5344,HR,Associate,2024-10-03,46,2024-11-18,Open
5345,IT,Executive,2024-05-19,15,2024-06-03,Filled
5346,HR,Analyst,2024-08-12,68,2024-10-19,Filled
5347,IT,Associate,2023-08-29,25,2023-09-23,Filled
5348,Sales,Associate,2024-10-14,67,2024-12-20,Filled
5349,Finance,Executive,2024-11-05,22,2024-11-27,Filled
5350,HR,Analyst,2023-08-24,39,2023-10-02,Filled
5351,Operations,Manager,2023-05-08,54,2023-07-01,Open
5352,Operations,Associate,2024-05-17,46,2024-07-02,Filled
5353,Sales,Manager,2023-07-19,42,2023-08-30,Open
5354,IT,Analyst,2024-06-26,17,2024-07-13,Filled
5355,IT,Associate,2024-05-16,76,2024-07-31,Open
5356,Sales,Associate,2024-10-11,41,2024-11-21,Filled
5357,Operations,Manager,2024-05-06,59,2024-07-04,Open
5358,Operations,Engineer,2023-01-21,39,2023-03-01,Filled
5359,IT,Manager,2023-08-22,75,2023-11-05,Open
5360,HR,Manager,2024-10-04,58,2024-12-01,Open
5361,Finance,Engineer,2024-02-20,60,2024-04-20,Filled
5362,HR,Analyst,2023-05-28,28,2023-06-25,Filled
5363,Operations,Analyst,2023-01-29,22,2023-02-20,Open
5364,HR,Associate,2023-12-27,62,2024-02-27,Filled
5365,Finance,Executive,2023-11-04,28,2023-12-02,Filled
5366,HR,Executive,2023-06-11,79,2023-08-29,Open
5367,HR,Associate,2023-03-02,21,2023-03-23,Filled
5368,HR,Executive,2023-05-05,63,2023-07-07,Filled
5369,HR,Manager,2024-03-31,69,2024-06-08,Filled
5370,Sales,Manager,2023-03-12,27,2023-04-08,Open
5371,Operations,Engineer,2024-04-10,87,2024-07-06,Filled
5372,Finance,Engineer,2023-08-31,70,2023-11-09,Filled
5373,Operations,Associate,2024-05-04,70,2024-07-13,Filled
5374,Sales,Associate,2023-08-09,29,2023-09-07,Open
5375,Sales,Associate,2024-04-17,71,2024-06-27,Filled
5376,Sales,Manager,2024-06-16,72,2024-08-27,Filled
5377,Sales,Executive,2024-05-08,49,2024-06-26,Filled
5378,HR,Associate,2023-03-23,30,2023-04-22,Open
5379,Operations,Associate,2024-06-05,22,2024-06-27,Open
5380,IT,Manager,2023-01-12,59,2023-03-12,Filled
5381,Finance,Manager,2023-09-20,54,2023-11-13,Filled
5382,Sales,Manager,2024-10-18,68,2024-12-25,Open
5383,Operations,Executive,2024-03-24,28,2024-04-21,Filled
5384,Sales,Associate,2023-07-11,73,2023-09-22,Filled
5385,Sales,Analyst,2023-04-24,67,2023-06-30,Open
5386,Sales,Analyst,2023-01-26,41,2023-03-08,Open
5387,Sales,Associate,2024-05-13,61,2024-07-13,Filled
5388,Sales,Associate,2024-05-22,20,2024-06-11,Filled
5389,Finance,Associate,2024-06-28,69,2024-09-05,Filled
5390,Operations,Associate,2023-03-03,58,2023-04-30,Filled
5391,Sales,Executive,2023-08-17,32,2023-09-18,Open
5392,Sales,Analyst,2024-08-29,30,2024-09-28,Open
5393,Sales,Engineer,2023-02-04,26,2023-03-02,Open
5394,Sales,Analyst,2024-03-31,34,2024-05-04,Filled
5395,HR,Analyst,2024-08-10,59,2024-10-08,Filled
5396,HR,Manager,2024-05-16,78,2024-08-02,Filled
5397,IT,Associate,2024-08-17,73,2024-10-29,Filled
5398,Sales,Associate,2023-01-25,36,2023-03-02,Open
5399,IT,Associate,2024-07-22,61,2024-09-21,Filled
5400,Finance,Manager,2023-02-01,43,2023-03-16,Filled
5401,IT,Executive,2023-01-12,59,2023-03-12,Filled
5402,Operations,Executive,2023-11-15,23,2023-12-08,Open
5403,HR,Engineer,2024-08-26,38,2024-10-03,Open
5404,HR,Executive,2023-01-01,29,2023-01-30,Open
5405,Sales,Executive,2024-03-10,50,2024-04-29,Filled
5406,Sales,Associate,2023-05-16,27,2023-06-12,Filled
5407,Finance,Analyst,2023-07-15,58,2023-09-11,Filled
5408,Finance,Executive,2023-05-13,85,2023-08-06,Filled
5409,Operations,Executive,2023-03-27,86,2023-06-21,Filled
5410,Sales,Manager,2024-04-20,50,2024-06-09,Filled
5411,Sales,Engineer,2023-11-20,75,2024-02-03,Filled
5412,Finance,Manager,2023-06-29,54,2023-08-22,Filled
5413,Finance,Associate,2024-05-30,41,2024-07-10,Filled
5414,Finance,Analyst,2024-09-29,15,2024-10-14,Filled
5415,HR,Engineer,2023-06-24,48,2023-08-11,Filled
5416,IT,Manager,2023-01-21,82,2023-04-13,Filled
5417,IT,Executive,2023-04-15,35,2023-05-20,Filled
5418,Sales,Executive,2024-07-31,47,2024-09-16,Filled
5419,HR,Engineer,2024-03-18,21,2024-04-08,Open
5420,Finance,Executive,2023-02-18,79,2023-05-08,Open
5421,Sales,Manager,2024-06-11,17,2024-06-28,Filled
5422,HR,Manager,2023-05-25,65,2023-07-29,Filled
5423,Operations,Executive,2023-12-06,68,2024-02-12,Filled
5424,HR,Executive,2023-12-20,88,2024-03-17,Open
5425,Sales,Associate,2023-03-16,73,2023-05-28,Open
5426,IT,Analyst,2024-07-31,20,2024-08-20,Filled
5427,Finance,Engineer,2024-09-28,43,2024-11-10,Filled
5428,Operations,Manager,2023-11-15,31,2023-12-16,Filled
5429,HR,Engineer,2023-03-28,74,2023-06-10,Filled
5430,Sales,Associate,2024-07-06,36,2024-08-11,Filled
5431,Sales,Manager,2024-11-28,38,2025-01-05,Filled
5432,Finance,Associate,2023-02-11,65,2023-04-17,Filled
5433,Sales,Associate,2023-04-03,64,2023-06-06,Filled
5434,Sales,Executive,2024-11-27,25,2024-12-22,Open
5435,Finance,Engineer,2024-05-21,70,2024-07-30,Open
5436,Operations,Engineer,2024-06-12,85,2024-09-05,Filled
5437,IT,Executive,2023-09-22,56,2023-11-17,Filled
5438,IT,Engineer,2024-09-17,53,2024-11-09,Filled
5439,HR,Executive,2023-10-19,83,2024-01-10,Filled
5440,Operations,Manager,2024-04-08,62,2024-06-09,Filled
5441,HR,Associate,2024-07-13,71,2024-09-22,Filled
5442,IT,Associate,2023-04-07,35,2023-05-12,Open
5443,Finance,Engineer,2023-04-05,34,2023-05-09,Filled
5444,Sales,Analyst,2023-11-22,29,2023-12-21,Filled
5445,IT,Associate,2023-03-15,83,2023-06-06,Filled
5446,Operations,Executive,2023-12-02,65,2024-02-05,Filled
5447,IT,Analyst,2023-03-09,76,2023-05-24,Filled
5448,Operations,Analyst,2023-03-18,51,2023-05-08,Open
5449,Operations,Associate,2023-07-27,20,2023-08-16,Open
5450,Operations,Associate,2023-08-09,85,2023-11-02,Filled
5451,HR,Associate,2023-09-19,40,2023-10-29,Filled
5452,Finance,Executive,2024-02-14,22,2024-03-07,Open
5453,IT,Analyst,2023-11-27,87,2024-02-22,Filled
